OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND
"49452","11","0","12","012","2019","01","17","5","3","3","6","2","0","1","0","0","0","0",795672.99366599997,5832907.14668000024,13.36322824600,52.56570042400,"0"
"49454","11","0","03","003","2019","03","23","6","3","5","2","2","0","1","0","0","0","0",799986.54073400004,5830197.62432000041,13.42422997000,52.53905455100,"0"
"49458","11","0","01","001","2019","02","18","4","3","2","2","2","1","1","0","0","0","0",799784.19803099998,5828665.24481999967,13.41987347600,52.52543060900,"0"
"49465","11","0","03","003","2019","02","18","6","3","1","5","2","1","0","0","0","0","1",800548.41524400003,5829803.14001999982,13.43213285100,52.53520911000,"0"
"49467","11","0","06","006","2019","03","12","7","3","1","1","0","0","1","0","0","0","0",779184.62002300005,5814995.88300999906,13.10560344800,52.41379650500,"0"
"49471","11","0","02","002","2019","02","15","4","3","3","6","0","1","1","0","0","0","0",802176.37805699999,5827706.48041999992,13.45415630300,52.51551669000,"0"
"49475","11","0","04","004","2019","01","11","2","3","3","6","0","0","1","0","0","0","0",791371.03030400001,5830534.09038999956,13.29785698800,52.54674599200,"0"
"49481","11","0","03","003","2019","02","15","3","3","5","3","0","1","1","0","0","0","0",802970.00256900000,5833351.90440999903,13.47096379400,52.56567512000,"0"
"49490","11","0","07","007","2019","02","15","3","3","2","6","0","0","1","0","0","0","0",795636.82194599998,5823954.69775000028,13.35473699900,52.48546916900,"0"
"49493","11","0","12","012","2019","03","14","6","3","0","7","0","0","1","0","0","0","0",787543.28809000005,5838730.95834999904,13.24867851700,52.62226787600,"0"
"49500","11","0","02","002","2019","01","16","5","3","5","2","0","1","1","0","0","0","0",802111.71128000005,5827388.09743999969,13.45291717500,52.51269884400,"0"
"49502","11","0","02","002","2019","02","15","5","3","6","7","0","1","0","1","0","0","0",803127.53875900002,5827630.32261000108,13.46806102500,52.51430630800,"0"
"49506","11","0","04","004","2019","02","09","2","3","5","7","0","1","1","0","0","0","0",790418.18251399999,5826358.66557000019,13.28019747700,52.50982197600,"0"
"49510","11","0","06","006","2019","01","19","3","3","0","6","2","0","0","0","1","0","1",789692.90399999998,5817964.52900000010,13.26225038100,52.43495163600,"1"
"49515","11","0","04","004","2019","02","14","7","3","2","6","0","0","1","0","0","0","0",791249.84292700002,5829816.29913999978,13.29544552300,52.54037590600,"0"
"49522","11","0","03","003","2019","01","08","3","3","3","6","0","0","1","0","0","1","0",799958.02520799998,5828910.68993000034,13.42264941400,52.52753501700,"0"
"49528","11","0","07","007","2019","02","15","2","3","2","6","0","0","1","0","0","0","1",796279.06447600003,5822691.60259000026,13.36304512900,52.47379847800,"0"
"49537","11","0","07","007","2019","02","07","6","3","3","6","1","0","1","0","0","0","0",799751.90239099995,5814179.81257999968,13.40639144500,52.39560708800,"1"
"49540","11","0","01","001","2019","03","07","5","3","0","5","0","1","1","0","0","0","0",799676.43497700000,5828479.04160999972,13.41812201200,52.52382083500,"1"
"49547","11","0","03","003","2019","01","14","4","3","1","5","0","1","1","0","0","0","0",799114.58360200003,5832339.20995000098,13.41334075300,52.55872984800,"0"
"49554","11","0","03","003","2019","02","15","7","3","5","2","0","1","1","0","0","0","0",799197.11106799997,5831455.21683000028,13.41375776600,52.55076091200,"0"
"49558","11","0","03","003","2019","01","15","2","2","6","4","0","0","1","1","0","0","0",800946.76156999997,5830492.91703000106,13.43861275200,52.54117187700,"0"
"49563","11","0","01","001","2019","02","15","6","3","1","5","0","0","1","0","0","0","0",795953.67732500006,5831634.00413000025,13.36622182300,52.55413548900,"0"
"49573","11","0","03","003","2019","02","17","4","3","5","7","2","1","0","0","0","0","1",798058.61272600002,5834034.66512000002,13.39933358400,52.57450620900,"0"
